skew_type	skew_bin_coarse	ccre_class	indel_type	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[0.2,0.5)	pELS	Insertion	401	5817	3204935	25747115	1.8016978603106153	1.628184842168488	1.9983020210216569	0.8493570955139875	0.7032644930575646	0.9987746468445982
HepG2_skew	[0.2,0.5)	dELS	Deletion	3279	74747	3204935	25747115	2.842070143053661	2.7442943150664227	2.9439478435577833	1.5069421611207703	1.4564352133318772	1.5577521121194235
HepG2_skew	[0.2,0.5)	dELS	Insertion	2079	26825	3204935	25747115	1.6060314949864527	1.5359271711804785	1.6801182689159788	0.6835001850191371	0.6191098096347484	0.7485627925117606
HepG2_skew	[0.2,0.5)	non-cCRE	Deletion	11361	209684	3204935	25747115	2.3078778174826313	2.264589142440782	2.3521347129561607	1.206566847563177	1.1792493302142684	1.233970689489001
HepG2_skew	[0.2,0.5)	non-cCRE	Insertion	6231	81965	3204935	25747115	1.6392169489444983	1.5974520964112071	1.6822843757030965	0.7130068065138727	0.6757726690087618	0.7504216013948192
HepG2_skew	[0.2,0.5)	Other cCREs	Deletion	1385	25203	3204935	25747115	2.264826224281881	2.145446161503282	2.3923302995677544	1.1794003593290912	1.1012776981001484	1.2584165904771434
HepG2_skew	[0.2,0.5)	Other cCREs	Insertion	710	9042	3204935	25747115	1.5833970804559567	1.4667683101069187	1.7114082549522733	0.6630230963896033	0.5526410017147971	0.7751839545311607
HepG2_skew	> 0.5	PLS	Deletion	14	619	3204935	25747115	5.145170701898538	3.0952112590798286	9.249023135676588	2.363218942366507	1.6300378818225245	3.2093009989546686
HepG2_skew	> 0.5	PLS	Insertion	21	470	3204935	25747115	2.664982020582058	1.7393058454507648	4.293631377651759	1.414125799811993	0.7985116433507113	2.1021983364081636
HepG2_skew	> 0.5	pELS	Deletion	68	2686	3204935	25747115	4.847808906201103	3.8177777057591284	6.2494521943420365	2.2773328309252205	1.9327331027063932	2.643729733591792
HepG2_skew	> 0.5	pELS	Insertion	86	1731	3204935	25747115	2.4782047233663724	1.997408390930227	3.11029623033298	1.3092953727834293	0.9981293369548054	1.6370519918285311
